company_name,valuation,date_joined,country,city,industry,investors,founded_year,total_raised,about_company,company_address_street,company_address_city_state_zip,company_address_city_country,company_address_city_phone,company_url,company_img,financials_investors_count,financials_investments,iso_alpha,continent,year_joined,month_joined,day_joined
Turing,1.1,2021-12-20,United States,Palo Alto,Enterprise Tech,"Foundation Capital, Frontier Ventures, AltaIR Capital",2018,$214.7M,"Turing operates as a technology company. The company offers an artificial intelligence (AI) enabled platform that matches companies with vetted remote developers and teams, providing services ranging from staff augmentation to fully managed services. Turing primarily serves businesses in need of engineering talent. It was founded in 2018 and is based in Palo Alto, California.",1900 Embarcadero Road Suite 104,"Palo Alto, California, 94303, ",United States,650-704-2449,https://turing.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/95a561f3-65ed-4850-a1f0-5f1281729d47.png?w=3840,,16,USA,Americas,2021,12,20
BrowserStack,4.0,2021-06-16,Ireland,Dublin,Enterprise Tech,"Accel, Insight Partners, Bond Capital",2011,$250M,"BrowserStack is a software testing platform that specializes in web and mobile application testing across various browsers and real devices. The company offers a suite of services including manual and automated testing, visual review tools, and compliance testing for accessibility standards. BrowserStack serves a broad range of customers, from individual developers to large enterprises, providing tools to improve software quality and streamline the testing process. It was founded in 2011 and is based in Dublin, Ireland.","8th Floor, Block E Iveagh Court, Harcourt Road","Dublin, ",Ireland,,https://browserstack.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/b5f4a1e6-9477-457a-8ed8-c168ba6e09ff.png?w=3840,3,,IRL,Europe,2021,6,16
Zihaiguo,1.0,2021-05-06,China,Chongqing,Consumer & Retail,"Xingwang Investment Management, China Capital Investment Group, Matrix Partners China",2017,$64.08M,"Zihaiguo develops and markets hot pots. It operates as a China-based self-heated individual instant hotpot brand. The company was founded in 2017 and is based in Hangzhou, China.","6-3, Building 1, No. 8, Shigui Avenue, Banan District ","Chongqing, Chongqing, ",China,+86 400-900-1238,https://zihaiguo.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/original/52d0e8db-b3d4-42de-abf5-aac6ff7236d6.png?w=3840,5,,CHN,Asia,2021,5,6
SmartMore,1.2,2021-06-24,China,Shenzhen,Industrials,"IDG Capital, ZhenFund, Sequoia Capital China",2019,$300M,"SmartMore develops the application of artificial intelligence (AI) visual system architecture in the fields of intelligent manufacturing and ultra-high-definition video. The company offers solutions that enable enterprises to achieve manufacturing optimization and automation (MOA). Its offerings include software algorithms to integrated hardware and software products. The company serves automotive, electronics, semiconductor, precision optics, and other industries. It was founded in 2019 and is based in Shatin, Hong Kong.","3 Science Park East Avenue, Science Park, New Territories Building 3E","Shatin, ",Hong Kong,400-688-9660,https://smartmore.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/4608e2c8-4e7c-467e-860f-e222ad2206e3.png?w=3840,11,,CHN,Asia,2021,6,24
Restaurant365,1.0,2023-05-19,United States,Irvine,Consumer & Retail,Bessemer Venture Partners,2011,$445.38M,"Restaurant365 specializes in integrating and automating accounting, operations, and workforce management for the restaurant industry. The company offers a cloud-based platform that centralizes data to help operators efficiently manage finances, optimize store operations, and streamline workforce tasks. Restaurant365 serves a variety of business types and restaurant styles, including small businesses, multi-location groups, enterprises, franchise brands, and accounting firms, with a focus on improving profitability and growth for its clients. It was founded in 2011 and is based in Irvine, California.",500 Technology Drive Suite 200,"Irvine, California, 92618, ",United States,949-652-7800,https://restaurant365.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/5bfb3f49-d94d-4b5f-adab-c4addfa15ba7.png?w=3840,8,,USA,Americas,2023,5,19
Xinchao Media,2.0,2018-04-09,China,Chengdu,Media & Entertainment,"JD.com, Baidu, Vision Plus Capital",2007,$1.33B,"Xinchao Media is a media technology innovation company with a focus on community media platforms within the advertising sector. The company offers elevator smart screens as a primary service, providing a digital advertising medium targeted at middle-class families. Xinchao Media's platforms are designed to deliver precise and effective advertising solutions to a broad national audience. It was founded in 2007 and is based in Chengdu, Sichuan.","Floor 15, Block A, Bloomington Plaza North Section of Yizhou Avenue, High-tech Zone","Chengdu, Sichuan, ",China,400-028-0111,https://xinchao.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/original/cd0fdbc9-21dd-4527-a7e5-8f100665e076.png?w=3840,9,6,CHN,Asia,2018,4,9
Skild AI,1.5,2024-07-09,United States,Pittsburgh,Industrials,"CRV, General Catalyst, Menlo Ventures",2023,$300M,"Skild AI focuses on revolutionizing the future of physical work through the development of intelligent embodied systems within the robotics and artificial intelligence sectors. The company offers a scalable robotics foundation model known as the Skild Brain, which adapts to various hardware and tasks and is designed to work in unstructured environments with human-like adaptability. Skild AI also provides full-stack robotic solutions for tasks such as visual inspection, data collection, and patrolling. It was founded in 2023 and is based in Pittsburgh, Pennsylvania.",141 South Saint Clair Street ,"Pittsburgh, Pennsylvania, 15206, ",United States,,https://skild.ai,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/c4f1deaa-9282-477f-bea8-1b40a9057095.png?w=3840,12,,USA,Americas,2024,7,9
FLASH,1.0,2022-03-16,United States,Austin,Industrials,"L Catterton, Trellis Partners, Vista Equity Partners",2011,$367.85M,"Flash specializes in parking solutions within the mobility and transportation sector. The company offers a suite of products including parking access and revenue control systems, valet parking management, event parking coordination, and enforcement solutions. Flash's solutions cater to a variety of sectors such as airports, healthcare facilities, commercial entities, and event venues. It was formerly known as Klever Logic. It was founded in 2011 and is based in Austin, Texas.","2500 Bee Cave Road Building III, Suite 400","Austin, Texas, 78746, ",United States,888-737-7465,https://flashparking.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/original/d9224db8-7e86-4d17-a8eb-0bb8ce858c93.png?w=3840,11,,USA,Americas,2022,3,16
Enable,1.12,2023-11-07,United States,San Francisco,Enterprise Tech,"Menlo Ventures, Norwest Venture Partners, Sierra Ventures",2016,$273.73M,"Enable specializes in rebate management software designed to facilitate B2B growth across various industries. The company offers a comprehensive platform that manages, tracks, and optimizes rebate programs, including annual rebates, special pricing agreements, commissions, promotions, and more, with advanced reporting and AI-driven insights. Enable's solutions cater to sectors such as construction, distribution, electrical, pharmaceutical, and HVAC, among others. It was founded in 2016 and is based in San Francisco, California.",535 Mission Street 14th Floor,"San Francisco, California, 94105, ",United States,628-251-1057,https://enable.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/69f53883-f417-474c-bf61-c2ef0d7ec5ba.png?w=3840,11,,USA,Americas,2023,11,07
Outschool,3.0,2021-04-14,United States,San Francisco,Consumer & Retail,"Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital",2015,$240.02M,"Outschool is an education platform operating in the e-learning industry. The company offers online classes and tutoring for children, with a focus on engaging, small-group learning experiences. These services are delivered via live video by experienced, independent teachers, covering a wide range of subjects from arts and coding to life skills and world languages. Outschool primarily serves families seeking homeschooling resources, as well as schools and districts looking to expand their enrichment, tutoring, and elective offerings. It was founded in 2015 and is based in San Francisco, California.",2261 Market Street Suite 4545,"San Francisco, California, 94114, ",United States,415-968-1685,https://outschool.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/86de37a5-7b33-4a67-9047-cfccdbc9832c.png?w=3840,14,,USA,Americas,2021,4,14
Monad Labs,3.0,2024-04-09,United States,New York,Financial Services,"HTX Ventures, Electric Capital, Coinbase Ventures",2022,$286.15M,"Monad is a decentralized smart contract platform focused on enhancing the performance of the Ethereum virtual machine (EVM) within the blockchain industry. The company offers a Layer 1 blockchain solution that enables parallelized execution and superscalar pipelining to significantly increase transaction throughput. It was founded in 2022 and is based in New York, New York.", ,"New York, New York, 10018, ",United States,,https://monad.xyz,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/original/1c89389f-7b30-43c8-bb6d-1c0fc33d59a1.png?w=3840,27,2,USA,Americas,2024,4,9
Esusu,1.0,2022-01-27,United States,New York,Financial Services,"Next Play Ventures, Zeal Capital Partners, SoftBank Group",2018,$144.43M,"Esusu is a financial health platform that specializes in rent reporting and credit score improvement for the real estate sector. The company offers services that enable renters to build their credit scores through rent payment reporting, while also providing property owners with tools to enhance their social impact goals and financial returns. Esusu also offers rent relief assistance in the form of zero-interest loans to support renters facing financial hardships. It was founded in 2018 and is based in New York, New York.",215 West 125th Street Suite 410,"New York, New York, 10027, ",United States,1-929-269-8032,https://esusurent.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/21af9b6d-5766-4b18-ab5f-438e0b42720c.png?w=3840,25,,USA,Americas,2022,1,27
Fabric,1.0,2021-10-26,United States,New York,Consumer & Retail,"Innovation Endeavors, Aleph, Temasek",2015,$336.01M,"Fabric operates as a retail technology company focusing on customer experiences from online shopping to delivery. The company offers intelligent robotic fulfillment and local last-mile operations, essentially redefining supply chain processes. Its solutions include back-of-store automation, automated micro-fulfillment and, enterprise-scale operations. It primarily serves the ecommerce industry. It was formerly known as CommonSense Robotics. It was founded in 2015 and is based in Tel Aviv, Israel.",Hamasger 9 Street ,"Tel Aviv, ",Israel,646-355-3541,https://getfabric.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/d79d405a-f6af-4e4b-8caa-ba68ebb91458.png?w=3840,17,,USA,Americas,2021,10,26
Zenoti,1.5,2020-12-15,United States,Bellevue,Consumer & Retail,"Norwest Venture Partners, Accel, Tiger Global Management",2010,$341.68M,"Zenoti focuses on providing cloud-based software solutions. The company offers a comprehensive platform that allows businesses to manage various aspects such as online appointment bookings, point of sale, customer relationship management, employee management, inventory management, and built-in marketing programs. Primarily, It sells to the beauty and wellness industry. Zenoti was formerly known as ManageMySpa. It was founded in 2010 and is based in Bellevue, Washington.",15395 South East 30th Place Suite 100,"Bellevue, Washington, 98007, ",United States,877-481-7634,https://zenoti.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/original/f27dd9ba-5ee8-455e-ab5e-4b7bededa9a5.png?w=3840,9,,USA,Americas,2020,12,15
Misfits Market,2.0,2021-04-21,United States,Pennsauken,Consumer & Retail,"Accel, D1 Capita Partners, Greenoaks Capital Management",2018,$526.5M,"Misfits Market focuses on delivering organic produce and sustainable groceries, operating within the online grocery delivery industry. The company offers a service that delivers organic produce boxes, high-quality meats, seafood, dairy products, and other sustainably sourced groceries directly to customers' doors. These offerings aim to reduce food waste and provide a more affordable alternative to traditional grocery store prices. It was founded in 2018 and is based in Clackamas, Oregon.",16800 SE Evelyn Street Suite 140,"Clackamas, Oregon, 97015, ",United States,,https://misfitsmarket.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/d4d8cdf7-e80d-4fde-bc35-1a5629560f5e.png?w=3840,10,,USA,Americas,2021,4,21
Iodine Software,1.0,2021-12-01,United States,Austin,Healthcare & Life Sciences,"Advent International, Bain Capital Ventures, Silversmith Capital Partners",2010,,"Iodine Software provides clinical documentation software for hospitals. It helps healthcare finance leaders build resilient organizations that unify clinical concepts, evidence-based medicine, and deep machine learning to power revenue cycle solutions. The company was founded in 2010 and is based in Austin, Texas.",6850 Austin Center Boulevard Suite 350,"Austin, Texas, 78731, ",United States,512-829-0600,https://iodinesoftware.com,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/e7191395-378e-413f-b369-ec973af1b69d.png?w=3840,3,,USA,Americas,2021,12,1
